k;a;b;length;ratio_prev_to_curr;x_test1;f_x_test1;x_test2;f_x_test2;cumulative_f_calls
1;-1.0;-0.3819660112501051;0.6180339887498949;;-0.7639320225002103;-0.9116558826180517;-0.6180339887498949;-0.7750710602238344;3
2;-1.0;-0.6180339887498949;0.3819660112501051;1.6180339887498951;-0.8541019662496846;-1.0487242687711127;-0.7639320225002103;-0.9116558826180517;4
3;-1.0;-0.7639320225002103;0.2360679774997897;1.6180339887498947;-0.9098300562505257;-1.155741523905548;-0.8541019662496846;-1.0487242687711127;5
4;-1.0;-0.8541019662496846;0.1458980337503154;1.6180339887498953;-0.9442719099991588;-1.2309221874295002;-0.9098300562505257;-1.155741523905548;6
5;-1.0;-0.9098300562505257;0.09016994374947429;1.6180339887498933;-0.9655581462513669;-1.2809629210008708;-0.9442719099991588;-1.2309221874295002;7
6;-1.0;-0.9442719099991588;0.055728090000841224;1.6180339887498956;-0.9787137637477918;-1.3132851061128348;-0.9655581462513669;-1.2809629210008708;8
7;-1.0;-0.9655581462513669;0.03444185374863307;1.6180339887498933;-0.9868443825035751;-1.3338011784224484;-0.9787137637477918;-1.3132851061128348;9
8;-1.0;-0.9787137637477918;0.021286236252208157;1.6180339887498991;-0.9918693812442166;-1.3466886485002834;-0.9868443825035751;-1.3338011784224484;10
9;-1.0;-0.9868443825035751;0.01315561749642491;1.6180339887498838;-0.9949750012593584;-1.3547333160108965;-0.9918693812442166;-1.3466886485002834;11
10;-1.0;-0.9918693812442166;0.008130618755783359;1.6180339887499016;-0.9968943799848582;-1.3597357554690936;-0.9949750012593584;-1.3547333160108965;12
11;-1.0;-0.9949750012593584;0.005024998740641551;1.6180339887498774;-0.9980806212745004;-1.3628391280113212;-0.9968943799848582;-1.3597357554690936;13
12;-1.0;-0.9968943799848582;0.003105620015141808;1.6180339887499409;-0.9988137587103578;-1.364761589857733;-0.9980806212745004;-1.3628391280113212;14
13;-1.0;-0.9980806212745004;0.001919378725499632;1.6180339887498683;-0.9992668625641425;-1.3659514460215378;-0.9988137587103578;-1.364761589857733;15
14;-1.0;-0.9988137587103578;0.001186241289642176;1.6180339887499646;-0.9995468961462152;-1.3666874707879937;-0.9992668625641425;-1.3659514460215378;16
15;-1.0;-0.9992668625641425;0.0007331374358574561;1.6180339887497122;-0.9997199664179274;-1.3671426086830478;-0.9995468961462152;-1.3666874707879937;17
16;-1.0;-0.9995468961462152;0.00045310385378483087;1.6180339887499766;-0.9998269297282878;-1.3674239947158424;-0.9997199664179274;-1.3671426086830478;18
17;-1.0;-0.9997199664179274;0.0002800335820726252;1.6180339887496809;-0.9998930366896397;-1.3675979372699851;-0.9998269297282878;-1.3674239947158424;19
18;-1.0;-0.9998269297282878;0.00017307027171220568;1.618033988750455;-0.9999338930386481;-1.3677054535933466;-0.9998930366896397;-1.3675979372699851;20
19;-1.0;-0.9998930366896397;0.00010696331036030848;1.6180339887501078;-0.9999591436509916;-1.3677719076499582;-0.9999338930386481;-1.3677054535933466;21
20;-1.0;-0.9999338930386481;6.61069613518972e-05;1.618033988749337;-0.9999747493876565;-1.3678129805456138;-0.9999591436509916;-1.3677719076499582;22
21;-1.0;-0.9999591436509916;4.0856349008411286e-05;1.6180339887513555;-0.999984394263335;-1.3678383657665405;-0.9999747493876565;-1.3678129805456138;23
22;-1.0;-0.9999747493876565;2.5250612343485912e-05;1.618033988746071;-0.9999903551243216;-1.3678540549920626;-0.999984394263335;-1.3678383657665405;24
23;-1.0;-0.999984394263335;1.5605736665036396e-05;1.6180339887483948;-0.9999940391390134;-1.3678637515798222;-0.9999903551243216;-1.3678540549920626;25
24;-1.0;-0.9999903551243216;9.644875678449516e-06;1.618033988753822;-0.9999963159853081;-1.367869744443845;-0.9999940391390134;-1.3678637515798222;26
25;-1.0;-0.9999940391390134;5.96086098658688e-06;1.6180339887396133;-0.9999977231537054;-1.3678734482540067;-0.9999963159853081;-1.367869744443845;27
26;-1.0;-0.9999963159853081;3.684014691862636e-06;1.6180339887768123;-0.9999985928316028;-1.3678757373408788;-0.9999977231537054;-1.3678734482540067;28
27;-1.0;-0.9999977231537054;2.2768462946132217e-06;1.6180339887583217;-0.9999991303221026;-1.3678771520767772;-0.9999985928316028;-1.3678757373408788;29
28;-1.0;-0.9999985928316028;1.4071683972494142e-06;1.6180339887278332;-0.9999994625095001;-1.3678780264325672;-0.9999991303221026;-1.3678771520767772;30
29;-1.0;-0.9999991303221026;8.696778973638075e-07;1.6180339888076531;-0.9999996678126025;-1.3678785668145155;-0.9999994625095001;-1.3678780264325672;31
