k;a;b;length;ratio_prev_to_curr;x_test1;f_x_test1;x_test2;f_x_test2;cumulative_f_calls
1;-1.0;-0.49999975;0.50000025;;-0.50000025;-0.7315306955800812;-0.49999975;-0.731530623845411;2
2;-1.0;-0.749999625;0.25000037500000005;1.9999980000029998;-0.750000125;-0.8942417046327344;-0.749999625;-0.8942410970663215;4
3;-1.0;-0.8749995625;0.1250004375;1.9999960000140002;-0.8750000625000001;-1.0867840121793308;-0.8749995625;-1.0867830721733718;6
4;-1.0;-0.93749953125;0.06250046875000004;1.9999920000599984;-0.93750003125;-1.215580306211587;-0.93749953125;-1.2155791836556833;8
5;-1.0;-0.9687495156249999;0.03125048437500011;1.9999840002479903;-0.968750015625;-1.288706396165473;-0.9687495156249999;-1.2887051782299488;10
6;-1.0;-0.9843745078124999;0.01562549218750009;1.9999680010079637;-0.9843750078125;-1.3275263263752597;-0.9843745078124999;-1.3275250597211588;12
7;-1.0;-0.9921870039062499;0.00781299609375008;1.999936004063733;-0.99218750390625;-1.3475098941084553;-0.9921870039062499;-1.3475086028375585;14
8;-1.0;-0.9960932519531249;0.003906748046875075;1.9998720163179016;-0.996093751953125;-1.3576462524489445;-0.9960932519531249;-1.3576449488052336;16
9;-1.0;-0.9980463759765624;0.0019536240234375724;1.9997440653912568;-0.9980468759765625;-1.362750722035883;-0.9980463759765624;-1.3627494121896562;18
10;-1.0;-0.9990229379882811;0.0009770620117188766;1.9994882617539276;-0.9990234379882812;-1.3653120477877214;-0.9990229379882811;-1.365310734836209;20
11;-1.0;-0.9995112189941405;0.0004887810058594733;1.9989770469922605;-0.9995117189941406;-1.3665949856977828;-0.9995112189941405;-1.3665936711926205;22
12;-1.0;-0.9997553594970703;0.00024464050292971606;1.997956184711971;-0.9997558594970704;-1.367237023698185;-0.9997553594970703;-1.3672357084159459;24
13;-1.0;-0.9998774297485351;0.00012257025146489298;1.9959207067449551;-0.9998779297485352;-1.3675581849955845;-0.9998774297485351;-1.3675568693247442;26
14;-1.0;-0.9999384648742675;6.153512573248143e-05;1.9918745595443552;-0.9999389648742676;-1.3677188012230657;-0.9999384648742675;-1.367717485357909;28
15;-1.0;-0.9999689824371337;3.101756286627566e-05;1.9838801003732784;-0.9999694824371338;-1.3677991182320621;-0.9999689824371337;-1.3677978022697432;30
16;-1.0;-0.9999842412185669;1.5758781433117264e-05;1.9682716584349529;-0.999984741218567;-1.3678392789604445;-0.9999842412185669;-1.3678379629495434;32
17;-1.0;-0.9999918706092834;8.129390716593576e-06;1.9384947756233075;-0.9999923706092835;-1.367859359880615;-0.9999918706092834;-1.3678580438454229;34
18;-1.0;-0.9999956853046417;4.314695358331733e-06;1.8841169634133306;-0.9999961853046417;-1.3678694004796965;-0.9999956853046417;-1.3678680844323585;36
19;-1.0;-0.9999975926523208;2.407347679200811e-06;1.7923025392676646;-0.9999980926523209;-1.3678744208139864;-0.9999975926523208;-1.3678731047605757;38
20;-1.0;-0.9999985463261604;1.45367383963535e-06;1.6560438893257428;-0.9999990463261604;-1.3678769309898184;-0.9999985463261604;-1.3678756149333713;40
21;-1.0;-0.9999990231630802;9.768369197971083e-07;1.488143834630331;-0.9999995231630803;-1.3678781860799067;-0.9999990231630802;-1.3678768700219412;42
