CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 30 80 00 00 00 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 40 80 00 00 00 00 00 00
CAN RX | ID: 0x180 | DLC: 8 | DATA: 00 00 30 23 86 13 40 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 50 80 00 00 00 00 00 00
CAN RX | ID: 0x180 | DLC: 8 | DATA: 00 00 30 23 86 13 40 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 60 80 00 00 00 00 00 00
CAN RX | ID: 0x292 | DLC: 3 | DATA: 01 60 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 70 80 00 00 00 00 00 00
CAN RX | ID: 0x180 | DLC: 8 | DATA: 00 00 30 23 86 13 40 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 80 80 00 00 00 00 00 00
CAN RX | ID: 0x160 | DLC: 7 | DATA: 2D 13 02 00 00 C8 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 90 80 00 00 00 00 00 00
CAN RX | ID: 0x6E2 | DLC: 6 | DATA: 00 00 00 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: A0 80 00 00 00 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: B0 80 00 00 00 00 00 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 40 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: C0 80 00 00 00 00 00 00
CAN RX | ID: 0x180 | DLC: 8 | DATA: 00 00 30 23 86 13 40 00
CAN RX | ID: 0x280 | DLC: 8 | DATA: F1 3F 29 10 00 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: D0 80 00 00 00 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: E0 80 00 00 00 00 00 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 70 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: F0 80 00 00 00 00 00 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 80 00
CAN RX | ID: 0x292 | DLC: 3 | DATA: 01 61 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 00 80 00 00 00 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 10 80 00 00 00 00 00 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 A0 00
CAN RX | ID: 0x2C6 | DLC: 6 | DATA: 02 E8 E8 80 00 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 B0 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 30 80 00 00 00 00 00 00
CAN RX | ID: 0x182 | DLC: 8 | DATA: 00 00 00 00 18 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 40 80 00 00 00 00 00 00
CAN RX | ID: 0x18A | DLC: 6 | DATA: 2D 18 00 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 50 80 00 00 00 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 60 80 00 00 00 00 00 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 F0 00
CAN RX | ID: 0x280 | DLC: 8 | DATA: 01 3F 29 10 00 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 70 80 00 00 00 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 80 80 00 00 00 00 00 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 10 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: 90 80 00 00 00 00 00 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 20 00
CAN RX | ID: 0x498 | DLC: 1 | DATA: 40
CAN RX | ID: 0x292 | DLC: 3 | DATA: 01 62 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: B0 80 00 00 00 00 00 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 40 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: C0 80 00 00 00 00 00 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 50 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: D0 80 00 00 00 00 00 00
CAN RX | ID: 0x182 | DLC: 8 | DATA: 00 00 00 00 18 00 00 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 70 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: E0 80 00 00 00 00 00 00
CAN RX | ID: 0x1F9 | DLC: 8 | DATA: F0 80 00 00 00 00 00 00
CAN RX | ID: 0x160 | DLC: 7 | DATA: 2D 13 02 00 00 C8 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 90 00
CAN RX | ID: 0x160 | DLC: 7 | DATA: 2D 13 02 00 00 C8 00
CAN RX | ID: 0x280 | DLC: 8 | DATA: 11 3F 29 10 00 00 00 00
CAN RX | ID: 0x160 | DLC: 7 | DATA: 2D 13 02 00 00 C8 00
CAN RX | ID: 0x2DE | DLC: 8 | DATA: 00 00 01 00 37 F9 B0 00
CAN RX | ID: 0x186 | DLC: 7 | DATA: 00 00 30 20 00 00 00
